nom,note,photo,lien,prix
"Ordinateur Portable Chromebook Acer CB314-2H-K9DB - 14"" HD - MTK MT8183 Octa-core - RAM 4 Go - 32 Go eMMC - ChromeOS - AZERTY","Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/0/0/1/1/300x300/nxawfef001/rw/ordinateur-portable-chromebook-acer-cb314-2h-k9db.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/ordinateur-portable-chromebook-acer-cb314-2h-k9db/f-1070992-nxawfef001.html?idOffre=1161789977#mpos=0|cd&sw=829abe3851e6709b12667b61ffbd50bac7a0ce58c081d809e9f3a3ea275536b64b5561c7292b3b5dda2ebcb6b3b4ab231da7cf619fe2615ebb8345a8f0f491f8966e14b990a5421e1261372dfac8754efd26a91f56970113b0b610063d7ebfc32ff04eb213a7e31561dfc4747b1ba34286168057f5529132e1f5a2cce58512d1,189€99
"PC Portable - THOMSON - TH14C4SL64 - 14,1"" HD - Intel Celeron - RAM 4Go - Stockage 64 Go eMMC SSD - W10 S - AZERTY",Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/l/6/4/1/300x300/th14c4sl64/rw/pc-portable-thomson-th14c4sl64-14-1-hd-in.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/pc-portable-thomson-th14c4sl64-14-1-hd-in/f-1070992-th14c4sl64.html?idOffre=2765139551#mpos=0|cd&sw=829abe3851e6709b12667b61ffbd50ba2d2922a3720f1737ab4829cab67776f16ffaf11562b09f879b51b75faca22a54f63ec97f2f828fa5901a90411f42a65c1689cf67231b2b39635499519f2c2b11e623f061f678152a345c81cf4f6e185dc27df510c07522a67a3d2e66558b91aac05e9622558bad52c575c7da4f0bd437,143€19
"Apple - MacBook Air (2020) - Puce Apple M1 - 13,3"" - RAM 8Go - Stockage 256Go - Or - AZERTY",Score global : 5 étoiles sur 5,https://www.cdiscount.com/pdt2/f/n/a/1/300x300/mgnd3fna/rw/apple-macbook-air-2020-puce-apple-m1-13-3.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/apple-macbook-air-2020-puce-apple-m1-13-3/f-1070992-mgnd3fna.html?idOffre=716410861#mpos=0|cd&sw=829abe3851e6709b12667b61ffbd50baaed0c9e801ebb0b914a307c11543c56ec0d98d067da18cab0dee671c9db18792447363095afc25162ad62329eb5c0f80d6138e6f82b9e2e124a9ea36907d7d1a84b76e79795d99adfb864c1acc6eb1c2ec9dc7768d5621c380661a152da2031434e7a37d9d47b75419a4f5b1c0c0c83d,979€00
"PC Complet HP Elite 6000 Pro SFF E5400 2.7Ghz 4Go Disque 500Go WIFI windows10 Pro + Ecran 19""",Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/5/2/2/1/300x300/hp3652145236522/rw/pc-complet-hp-elite-6000-pro-sff-e5400-2-7ghz-4go.jpg,https://www.cdiscount.com/informatique/achat-pc-ordinateur/pc-complet-hp-elite-6000-pro-sff-e5400-2-7ghz-4go/f-1070849-hp3652145236522.html?idOffre=1817524501#mpos=0|mp&sw=829abe3851e6709b12667b61ffbd50badf9dd4a37e0ea01b8b4dd82826ab8b09abc17e1d2210da39602dac15c03bf15ca096c2da21b903ca5b09b7d2c6254a2af5a2b2044ac279be98e3f0ec1405c833637976667d5ec40ea84c06059a0624e88b7390856c63cce3462e616023ae42cee184f9368a04ecc3bf7353bbdfd1f1c8,179€00
"PC Portable - THOMSON - TH14C4SL64 - 14,1"" HD - Intel Celeron - RAM 4Go - Stockage 64 Go eMMC SSD - W10 S - AZERTY",Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/l/6/4/1/300x300/th14c4sl64/rw/pc-portable-thomson-th14c4sl64-14-1-hd-in.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/pc-portable-thomson-th14c4sl64-14-1-hd-in/f-1070992-th14c4sl64.html#mpos=0|cd,143€19
"Vibox VI-36 PC Gamer - 22"" Écran Pack - AMD Ryzen 3200GE - Radeon Vega 8 Graphiques - 8Go RAM - 480Go SSD - Win11 - WiFi","Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/3/6/0/1/300x300/vib5057551885360/rw/vibox-vi-36-pc-gamer-24-ecran-pack-amd-athlon.jpg,https://www.cdiscount.com/informatique/achat-pc-ordinateur/vibox-vi-36-pc-gamer-24-ecran-pack-amd-athlon/f-1070851-vib5057551885360.html#mpos=0|mp,599€95
"PC tout en un ASUS Vivo AIO Pro M3700 WYAK WA015X - argenté - 27""",,https://www.cdiscount.com/pdt2/9/1/0/1/300x300/asu4711081938910/rw/pc-tout-en-un-asus-vivo-aio-pro-m3700-wyak-wa015x.jpg,https://www.cdiscount.com/informatique/achat-pc-ordinateur/pc-tout-en-un-asus-vivo-aio-pro-m3700-wyak-wa015x/f-1070849-asu4711081938910.html?idOffre=2661383427#mpos=0|mp,1034€96
PC de bureau Gaming Omen by HP 25L GT15-0563nf - Core i7-12700F - RAM 16Go DDR4 - 512Go SSD - GeForce RTX 4070 Ti 12Go - FreeDOS,,https://www.cdiscount.com/pdt2/3/n/f/1/300x300/hpgt150563nf/rw/pc-de-bureau-gaming-omen-by-hp-25l-gt15-0563nf-c.jpg,https://www.cdiscount.com/informatique/achat-pc-ordinateur/pc-de-bureau-gaming-omen-by-hp-25l-gt15-0563nf-c/f-1070853-hpgt150563nf.html#mpos=0|cd,2179€99
Vibox VI-11 PC Gamer - AMD Ryzen 3200GE - Radeon Vega 8 Graphiques - 16Go RAM - 480Go SSD - Win11 - WiFi,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/3/9/1/1/300x300/vib5057551885391/rw/vibox-vi-11-pc-gamer-amd-athlon-pro-300ge-rade.jpg,https://www.cdiscount.com/informatique/achat-pc-ordinateur/vibox-vi-11-pc-gamer-amd-athlon-pro-300ge-rade/f-1070853-vib5057551885391.html#mpos=0|mp,449€95
PC Portable - ACEMAGIC - 15.6 FHD 16GB DDR4 512GB SSD - Intel Quad-Core 12th Alder Lake N 95(Up to 3.4GHz) - Windows 11 Pro,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/6/3/6/1/300x300/ace1690429775636/rw/pc-portable-acemagic-15-6-fhd-16gb-ddr4-512gb.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/pc-portable-acemagic-15-6-fhd-16gb-ddr4-512gb/f-1070992-ace1690429775636.html?idOffre=2776596378#mpos=0|mp&sw=829abe3851e6709b12667b61ffbd50ba01015b2f2dd2d385186f2f1a465fb5a44eacfdaf0fc1993fea5d3ff15cdfa49b7a121ffd8408ce0859b54135a02964451c66048aa71c67d08d067895f2fba282a74eef3792fecec78a6f3031262b6dc881af448cbdde284450500089ed9e8a91be444d68c5b4bfb81e2b7f6a31f044b0,299€99
"PC Portable - THOMSON - NEO17 - 17,3"" HD - Intel Celeron N4020 - RAM 8 Go - Stockage 512 Go SSD - Windows 10 - AZERTY",Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/5/1/2/1/300x300/th17c8sl512/rw/pc-portable-thomson-neo17-17-3-hd-intel-c.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/pc-portable-thomson-neo17-17-3-hd-intel-c/f-1070992-th17c8sl512.html?idOffre=1943740017#mpos=0|cd&sw=829abe3851e6709b12667b61ffbd50ba2d2922a3720f1737ab4829cab67776f16ffaf11562b09f879b51b75faca22a54ea7bf0dec78efe335ccb8b2fdc261737f8521f307979ab688ee88fcc9e69d6fc536e2c2d0e1e2ac6f8e51193cf401cc5095bd17c3e844d14b85338981836f7d1de2e6681f0e53a69e296e34fb7e64243,269€99
