nom,note,photo,lien,prix
Samsung Galaxy S21 128Go 8Go RAM Gris,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/1/2/7/1/300x300/sam8806090892127/rw/samsung-galaxy-s21-128go-8go-ram-gris.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-128go-8go-ram-gris/f-1440402-sam8806090892127.html?idOffre=2745745350#mpos=0|mp&sw=7a2f6c812002cd0f1db7c5d15c5b35d708a35858ecb97490741dc3e88b9119da0694ebd2e15c4d4b70ead0690106d3e3e5ee25356991fd785a31aca6816e5304c787270402817ccf161fb7f91f150167ec406f39b61a5f990161721878eb0b86e64ce88a8082506c4f6e5cba9e025c1d8daf4a3f22361995bc15dddc1ca6a13b,325€00
Samsung Galaxy S21 128Go Gris - Reconditionné - Excellent état,Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/0/c/n/1/300x300/rcdbycds460cn/rw/samsung-galaxy-s21-128go-gris-reconditionne-ex.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-128go-gris-reconditionne-ex/f-1440402-rcdbycds460cn.html?idOffre=2903122141#mpos=0|mp&sw=7a2f6c812002cd0f1db7c5d15c5b35d7a963856ee2eaf987a403919f5820f9acd0c461dfd04f500516a1de6209797ce75cebafb0dca969d32d7822b38b74d07f2d539472877fa2f068f6823c06b40d92472caea79204af881b0cc5cb47c52608045863d78d9ba598052f2d58dfec8e628d79dd78b439b1fdf5db4120686054e7,256€00
SAMSUNG Galaxy A21s Blanc - Reconditionné - Très bon état,Score global : 5 étoiles sur 5,https://www.cdiscount.com/pdt2/t/b/e/1/300x300/sama21sbtbe/rw/samsung-galaxy-a21s-blanc-tres-bon-etat.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a21s-blanc-tres-bon-etat/f-1440402-sama21sbtbe.html?idOffre=1425171698#mpos=0|mp&sw=7a2f6c812002cd0f1db7c5d15c5b35d70e749b16988852ef6cec9732a45ce394cb69c261e876057123ed645db3565120b14870f5184a12910fb68589b841dbb5b8c21e11feba26a2313379fb6987b094bc937f348206615225f051f7660e0c2a3a4b27d992f9c50f413cb3f6b59ceb9a60cb7d95072e44dec34b7d7340961326,189€99
Samsung Galaxy S21 128Go Violet - Reconditionné - Excellent état,Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/2/c/n/1/300x300/rcdbycds462cn/rw/samsung-galaxy-s21-128go-violet-reconditionne.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-128go-violet-reconditionne/f-1440402-rcdbycds462cn.html?idOffre=2903122251#mpos=0|mp&sw=7a2f6c812002cd0f1db7c5d15c5b35d7a963856ee2eaf987a403919f5820f9acd0c461dfd04f500516a1de6209797ce7011cdf0767f35f0d834668cb7c06b23edd79d8425584bc282de7b7b0e7490ea4b4b9d249bc0065d13c554e151db317d7f0575326d59310efe23ee896a00c611dcfb9087c3002b5303ef11bcb8673b19d,255€00
SAMSUNG Galaxy S21 Plus 128Go Noir.,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/2/8/n/1/300x300/samgalaxs21p128n/rw/samsung-galaxy-s21-plus-128go-noir.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-plus-128go-noir/f-1440402-samgalaxs21p128n.html?idOffre=2925780305#mpos=0|mp,399€99
SAMSUNG Galaxy S21 128Go Rose,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/2/8/r/1/300x300/samgalaxs21128r/rw/samsung-galaxy-s21-128go-rose.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-128go-rose/f-1440402-samgalaxs21128r.html?idOffre=3001407821#mpos=0|mp,309€00
Samsung Galaxy S21 128Go Gris - Reconditionné - Excellent état,Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/0/c/n/1/300x300/rcdbycds460cn/rw/samsung-galaxy-s21-128go-gris-reconditionne-ex.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-128go-gris-reconditionne-ex/f-1440402-rcdbycds460cn.html?idOffre=2821771729#mpos=0|mp,255€88
SAMSUNG GALAXY S22 256Go 5G Lavande,,https://www.cdiscount.com/pdt2/2/2/7/1/300x300/sam8806094615227/rw/samsung-galaxy-s22-256go-5g-lavande.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s22-256go-5g-lavande/f-1440402-sam8806094615227.html?idOffre=3035314036#mpos=0|mp,589€00
SAMSUNG Galaxy A54 5G Graphite 128 Go,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/6/9/9/1/300x300/sam8806094885699/rw/samsung-galaxy-a54-5g-graphite-128-go.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a54-5g-graphite-128-go/f-1440402-sam8806094885699.html#mpos=0|cd,449€00
SAMSUNG Galaxy A53 128Go 5G Noir,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/4/0/1/1/300x300/sam8806094095401/rw/samsung-galaxy-a53-128go-5g-noir.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a53-128go-5g-noir/f-1440402-sam8806094095401.html?idOffre=2784693779#mpos=0|mp&sw=7a2f6c812002cd0f1db7c5d15c5b35d708a35858ecb97490741dc3e88b9119da0694ebd2e15c4d4b70ead0690106d3e3278e9c27aefe3fe5d434b08a2ac5b5cf9710dbfba5feb7f029bac161011c2ccbe143009a919a3580267aedff4708b71df2f3d9d854a567f0f1eaab8c7da2a287582ca45a1b52524467312b16ff861d77,289€00
SAMSUNG S21FE 256Go 5G Graph,Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/2/5/6/1/300x300/samgalas21feg256/rw/samsung-s21fe-256go-5g-graph.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-s21fe-256go-5g-graph/f-1440402-samgalas21feg256.html?idOffre=1829012028#mpos=0|mp&sw=7a2f6c812002cd0f1db7c5d15c5b35d75d36ad167820093df161acc8ed7230baf373332ff120aff566154fe2e7670f1cf8d13c0a06dcceee07721ad813dc411810298f2ca1e93c7d785ddbdacae07d4fff94feb10b8f786410a8efbba8bca9b81a95f46c4295054a517684aab52f29f6ee04f0c1f6b7c000aa40cad23f7d5e1a,526€00
SAMSUNG Galaxy S21 Ultra 512Go Noir,,https://www.cdiscount.com/pdt2/1/2/n/1/300x300/samgalaxs21u512n/rw/samsung-galaxy-s21-ultra-512go-noir.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-ultra-512go-noir/f-1440402-samgalaxs21u512n.html?idOffre=3100487750#mpos=0|mp,688€00
SAMSUNG Galaxy A14 5G Argenté 64 Go,Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/4/3/5/1/300x300/sam8806094825435/rw/samsung-galaxy-a14-5g-argente-64-go.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a14-5g-argente-64-go/f-1440402-sam8806094825435.html?idOffre=2997524236#mpos=0|mp,157€59
SAMSUNG Galaxy A54 5G Lime 128 Go,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/7/6/7/1/300x300/sam8806094885767/rw/samsung-galaxy-a54-5g-lime-128-go.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a54-5g-lime-128-go/f-1440402-sam8806094885767.html#mpos=0|cd,449€00
SAMSUNG Galaxy S10+ Bleu 8Go + 128Go Single SIM,Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/1/1/2/1/300x300/sam0616985706112/rw/samsung-galaxy-s10-bleu-8go-128go-single-sim.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s10-bleu-8go-128go-single-sim/f-1440402-sam0616985706112.html?idOffre=2366342481#mpos=0|mp,256€00
SAMSUNG Galaxy A14 4G Noir 64 Go,"Score global : 3,5 étoiles sur 5",https://www.cdiscount.com/pdt2/4/8/4/1/300x300/sam8806094843484/rw/samsung-galaxy-a14-4g-noir-64-go.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a14-4g-noir-64-go/f-1440402-sam8806094843484.html?idOffre=2608509927#mpos=0|mp,149€00
SAMSUNG Galaxy S21 128Go Blanc,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/2/8/b/1/300x300/samgalaxs21128b/rw/samsung-galaxy-s21-128go-blanc.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-128go-blanc/f-1440402-samgalaxs21128b.html?idOffre=2657218674#mpos=0|mp,315€00
SAMSUNG Galaxy S21 128Go Violet,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/2/8/v/1/300x300/samgalaxs21128v/rw/samsung-galaxy-s21-128go-violet.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-128go-violet/f-1440402-samgalaxs21128v.html?idOffre=2651704368#mpos=0|mp,337€92
SAMSUNG Galaxy S21 256Go Gris,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/5/6/g/1/300x300/samgalaxs21256g/rw/samsung-galaxy-s21-256go-gris.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-256go-gris/f-1440402-samgalaxs21256g.html?idOffre=3100470538#mpos=0|mp,341€99
SAMSUNG Galaxy S21 128Go Gris,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/2/8/g/1/300x300/samgalaxs21128g/rw/samsung-galaxy-s21-128go-gris.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-128go-gris/f-1440402-samgalaxs21128g.html#mpos=0|cd,839€99
SAMSUNG Galaxy S21 256Go Rose,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/5/6/r/1/300x300/samgalaxs21256r/rw/samsung-galaxy-s21-256go-rose.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-256go-rose/f-1440402-samgalaxs21256r.html?idOffre=3100470539#mpos=0|mp,341€99
SAMSUNG Galaxy S21 Ultra 128Go Noir,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/2/8/n/1/300x300/samgalaxs21u128n/rw/samsung-galaxy-s21-ultra-128go-noir.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-ultra-128go-noir/f-1440402-samgalaxs21u128n.html?idOffre=2824692146#mpos=0|mp,398€97
Samsung Galaxy S20 FE 5G Bleu - Reconditionné - Excellent état,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/8/c/n/1/300x300/rcdbycds448cn/rw/samsung-galaxy-s20-fe-5g-bleu-reconditionne-ex.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s20-fe-5g-bleu-reconditionne-ex/f-1440402-rcdbycds448cn.html?idOffre=2719348412#mpos=0|mp,238€00
